#options: 320x220 fps=359/12 timebase=12/359 bitdepth=8cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=0.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=31 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:70 out:71 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:77 out:76 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:89 out:88 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:91 out:90 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:93 out:92 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:95 out:94 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
